,Mapped Company,Product Type,Product_1,Product_Name
0,Goodman,Heat Pumps (365),365,365 - HEAT PUMPS
1,GE,Heat Pumps (365),365,365 - HEAT PUMPS
2,LG,Heat Pumps (365),365,365 - HEAT PUMPS
3,Fridgidaire,Heat Pumps (365),365,365 - HEAT PUMPS
4,Amana,Heat Pumps (365),365,365 - HEAT PUMPS
5,Rheem,Heat Pumps (365),365,365 - HEAT PUMPS
6,Kenmore,Heat Pumps (365),365,365 - HEAT PUMPS
7,TRANE,Heat Pumps (365),365,365 - HEAT PUMPS
8,American Standard,Heat Pumps (365),365,365 - HEAT PUMPS
9,Lennox,Heat Pumps (365),365,365 - HEAT PUMPS
10,Carrier,Heat Pumps (365),365,365 - HEAT PUMPS
11,Dyson,Heat Pumps (365),365,365 - HEAT PUMPS
12,Goodman,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
13,GE,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
14,Vornado,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
15,Westinghouse,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
16,Sunbeam,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
17,Pelonis,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
18,Comfort Zone,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
19,Honeywell,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
20,Lasko,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
21,Amazon,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
22,Soleil,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
23,Patton,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
24,Dyson,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
25,Cadet,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
26,Holmes,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
27,venmar,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
28,Bionaire,"Heaters or Heating Systems, Other or Not Specified (393)",393,"393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED"
29,Goodman,Gas Furnaces (310),310,310 - GAS FURNACES
30,GE,Gas Furnaces (310),310,310 - GAS FURNACES
31,Fridgidaire,Gas Furnaces (310),310,310 - GAS FURNACES
32,Whirlpool,Gas Furnaces (310),310,310 - GAS FURNACES
33,Amana,Gas Furnaces (310),310,310 - GAS FURNACES
34,Rheem,Gas Furnaces (310),310,310 - GAS FURNACES
35,NuTone,Gas Furnaces (310),310,310 - GAS FURNACES
36,Coleman,Gas Furnaces (310),310,310 - GAS FURNACES
37,TRANE,Gas Furnaces (310),310,310 - GAS FURNACES
38,American Standard,Gas Furnaces (310),310,310 - GAS FURNACES
39,Lennox,Gas Furnaces (310),310,310 - GAS FURNACES
40,unknown,Gas Furnaces (310),310,310 - GAS FURNACES
41,Carrier,Gas Furnaces (310),310,310 - GAS FURNACES
42,Goodman,"Furnaces, Other or Not Specified (322)",322,"322 - FURNACES, OTHER OR NOT SPECIFIED"
43,Amana,"Furnaces, Other or Not Specified (322)",322,"322 - FURNACES, OTHER OR NOT SPECIFIED"
44,Maytag,"Furnaces, Other or Not Specified (322)",322,"322 - FURNACES, OTHER OR NOT SPECIFIED"
45,Coleman,"Furnaces, Other or Not Specified (322)",322,"322 - FURNACES, OTHER OR NOT SPECIFIED"
46,American Standard,"Furnaces, Other or Not Specified (322)",322,"322 - FURNACES, OTHER OR NOT SPECIFIED"
47,Lennox,"Furnaces, Other or Not Specified (322)",322,"322 - FURNACES, OTHER OR NOT SPECIFIED"
48,Goodman,Air Conditioners (381),381,381 - AIR CONDITIONERS
49,Electrolux,Air Conditioners (381),381,381 - AIR CONDITIONERS
50,GE,Air Conditioners (381),381,381 - AIR CONDITIONERS
51,LG,Air Conditioners (381),381,381 - AIR CONDITIONERS
52,Ryobi,Air Conditioners (381),381,381 - AIR CONDITIONERS
53,Fridgidaire,Air Conditioners (381),381,381 - AIR CONDITIONERS
54,Amana,Air Conditioners (381),381,381 - AIR CONDITIONERS
55,Rheem,Air Conditioners (381),381,381 - AIR CONDITIONERS
56,Kenmore,Air Conditioners (381),381,381 - AIR CONDITIONERS
57,Coleman,Air Conditioners (381),381,381 - AIR CONDITIONERS
58,Haier,Air Conditioners (381),381,381 - AIR CONDITIONERS
59,American Standard,Air Conditioners (381),381,381 - AIR CONDITIONERS
60,Lennox,Air Conditioners (381),381,381 - AIR CONDITIONERS
61,Hampton Bay,Air Conditioners (381),381,381 - AIR CONDITIONERS
62,Supco,Air Conditioners (381),381,381 - AIR CONDITIONERS
63,Carrier,Air Conditioners (381),381,381 - AIR CONDITIONERS
64,Soleus,Air Conditioners (381),381,381 - AIR CONDITIONERS
65,Champion,Air Conditioners (381),381,381 - AIR CONDITIONERS
