,Product_1,NEISS_Trend,Trend Megnitude,Product_Name
0,1612,0.5625,Increase,1612 - SAUNAS
1,1654,0.46491228070175444,Small Increase,1654 - PAPER CUTTERS
2,1857,0.4036144578313253,Small Increase,1857 - ARTIFICIAL TURF
3,365,0.4,Small Increase,365 - HEAT PUMPS
4,3215,0.37921880925293894,Small Increase,3215 - MOPEDS OR POWER-ASSISTED CYCLES
5,962,0.375,Small Increase,962 - DIESEL FUELS
8,4002,0.35106382978723405,Small Increase,"4002 - BEDDING, NOT SPECIFIED"
9,1891,0.33870967741935487,Small Increase,1891 - MOVING WALKS
11,1560,0.3275862068965517,Small Increase,1560 - BABY SLINGS AND WRAPS
12,465,0.31773399014778325,Small Increase,465 - OTHER COOKWARE
13,5030,0.3171902268760908,Small Increase,"5030 - TRACK & FIELD (ACT., APPAREL, EQP.; EX.  JOG, RUN FIT)"
14,5022,0.30885345997286295,Small Increase,"5022 - SCOOTERS, POWERED"
15,1605,0.30645161290322587,Small Increase,"1605 - WIGS, FALLS OR HAIRPIECES"
18,3218,-0.30473372781065083,Small Decrease,3218 - CHARCOAL OR WOOD-BURNING GRILLS
19,112,-0.3048780487804878,Small Decrease,112 - SEWING MACHINES OR ACCESSORIES
20,565,-0.3125,Small Decrease,"565 - MUSICAL INSTRUMENTS, ELECTRIC OR BATTERY OPERATED"
21,692,-0.32142857142857145,Small Decrease,692 - MAGAZINE RACKS OR BOOK ENDS
22,1828,-0.3400000000000001,Small Decrease,1828 - WINDOW SCREENS
23,4065,-0.34615384615384626,Small Decrease,"4065 - CLOCKS, ELECTRIC OR BATTERY OPERATED"
24,1234,-0.36858974358974356,Small Decrease,1234 - TREEHOUSES OR PLAYHOUSES
25,1405,-0.3727272727272727,Small Decrease,1405 - GARDEN TRACTORS
26,1124,-0.375,Small Decrease,1124 - GLASS TUBING OR TEST TUBES
27,972,-0.38095238095238104,Small Decrease,"972 - PAINT OR VARNISH REMOVERS, PAINTBRUSH CLEANERS"
28,4077,-0.39673913043478265,Small Decrease,4077 - EXTENSION OR STRAIGHT LADDERS
29,1533,-0.4230769230769231,Small Decrease,1533 - NIGHT-LIGHTS
30,1618,-0.44864048338368573,Small Decrease,1618 - RESPIRATORY PROTECTION DEVICES
31,1731,-0.46296296296296285,Small Decrease,"1731 - MATCHES, NOT SPECIFIED"
32,814,-0.5902654867256637,Decrease,"814 - HOISTS, LIFTS, JACKS OR JACK STANDS"
33,334,-0.6470588235294117,Decrease,"334 - GAS-BURNING FIREPLACES, FACTORY BUILT"
34,1744,-0.7133891213389121,Decrease,"1744 - MOTORIZED VEHICLES, NEC (3 OR MORE WHEELS)"
35,5555,-0.7849740932642488,Significant Decrease,5555 - < 5 POISONINGS - NO OTHER CODE
